id,title,text,source,publish_date,url,category,location_mentioned
news_0000,Chennai Discusses Infrastructure Issues,"This article covers recent infrastructure related activities in Chennai. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-05-09 00:40:51.946287,http://fakenewsdomain.example.com/infrastructure/chennai/article0,infrastructure,Chennai
news_0001,Hyderabad Discusses Public safety Developments,"This article covers recent public safety related activities in Hyderabad. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Local Chronicle,2025-04-20 14:53:51.946299,http://fakenewsdomain.example.com/public-safety/hyderabad/article1,public safety,Hyderabad
news_0002,Chennai Discusses Environment Developments,"This article covers recent environment related activities in Chennai. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-04-08 15:55:51.946309,http://fakenewsdomain.example.com/environment/chennai/article2,environment,Chennai
news_0003,Kanpur Reports on Local events Concerns,"This article covers recent local events related activities in Kanpur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Independent Reporter,2025-05-20 03:05:51.946318,http://fakenewsdomain.example.com/local-events/kanpur/article3,local events,Kanpur
news_0004,Thane Discusses Education Concerns,"This article covers recent education related activities in Thane. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-04-07 09:26:51.946336,http://fakenewsdomain.example.com/education/thane/article4,education,Thane
news_0005,Lucknow Reports on Environment Developments,"This article covers recent environment related activities in Lucknow. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Times of City,2025-04-16 02:34:51.946344,http://fakenewsdomain.example.com/environment/lucknow/article5,environment,Lucknow
news_0006,Nagpur Highlights Public safety Issues,"This article covers recent public safety related activities in Nagpur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-05-21 17:01:51.946352,http://fakenewsdomain.example.com/public-safety/nagpur/article6,public safety,Nagpur
news_0007,Bangalore Discusses Infrastructure Developments,"This article covers recent infrastructure related activities in Bangalore. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Independent Reporter,2025-04-20 13:33:51.946373,http://fakenewsdomain.example.com/infrastructure/bangalore/article7,infrastructure,Bangalore
news_0008,Kolkata Highlights Education Concerns,"This article covers recent education related activities in Kolkata. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Independent Reporter,2025-05-02 20:51:51.946381,http://fakenewsdomain.example.com/education/kolkata/article8,education,Kolkata
news_0009,Kanpur Reports on Education Developments,"This article covers recent education related activities in Kanpur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Independent Reporter,2025-05-04 19:04:51.946389,http://fakenewsdomain.example.com/education/kanpur/article9,education,Kanpur
